titulo,descricao,fonte,publicado_em
The Super Hero Team-based PVP Shooter - Marvel Rivals,Play for free Now! Get ready to Ignite the Battle with Marvel Rivals!,Marvelrivals.com,2026-06-09T18:47:27Z
"WWDC 2026: Everything announced on Siri AI, iOS 27, Apple Intelligence, and more - TechCrunch","Apple primarily made the case for an improved experience with its long-standing Siri assistant, which like most other announcements had a hefty helping of AI.",TechCrunch,2026-06-09T18:04:24Z
"Xenoblade Genesis reveals director, composers, character designers - Nintendo Everything","Nintendo didn’t have a whole lot to say about Xenoblade Genesis following the Direct reveal, but we now have information about its director, composers, and character designers. First up, Tetsuya Takashi is acting as general director. That shouldn’t come as a …",Nintendoeverything.com,2026-06-09T17:49:57Z
Apple wants Europe to blink - The Verge,Apple blames DMA for delaying Siri AI in Europe. The EU says nothing is stopping Apple from launching it.,The Verge,2026-06-09T17:13:14Z
Apple Says iOS 27 Adds These 12 New Features to Your iPhone - MacRumors,"iOS 27's key new feature is a more intelligent and personal version of Siri, but the changes go well beyond that. In a press release today, Apple...",MacRumors,2026-06-09T16:47:47Z
"Nomad's best Qi2 25W wireless charger just got a transparent version, and I can't stop looking at it - 9to5Google",The Stand One charger from Nomad got a massive visual upgrade that leaves the view of the Qi2 wireless charging...,9to5google.com,2026-06-09T16:00:00Z
Gemini 3.5 Live Translate rolling out to Google Meet & Translate with new ‘listening mode’ - 9to5Google,Google today announced Gemini 3.5 Live Translate as its latest model for live speech-to-speech translation.,9to5google.com,2026-06-09T15:43:00Z
iOS 27 features we didn’t see onstage - TechCrunch,"While iOS 27 isn't bringing major changes, it's still got many small features that could improve everyday usage for iPhone users.",TechCrunch,2026-06-09T15:06:12Z
The Nintendo Switch 2 Remake Of The Legend Of Zelda: Ocarina Of Time Drops In 2026 - Game Informer,The long rumored re-remake of The Legend of Zelda: Ocarina of Time is officially finally happening.,Gameinformer.com,2026-06-09T15:05:51Z
Kingdom Hearts IV Lights Up With A New Trailer - Kotaku,"Sora's older and more mature, but just as colorful as he used to be",Kotaku,2026-06-09T15:01:20Z
Apple's New AI Models Contain 'None' of Google's Gemini Assistant - MacRumors,Apple executives have detailed the architecture of the company's new Apple Foundation Models (AFM) and clarified exactly how Google's...,MacRumors,2026-06-09T13:46:06Z
"AMD Warns DDR5 Prices Won’t Return To Normal Until 2028, As AI Boom Strangles Consumer Memory Supply - Wccftech","DDR5 memory prices are expected to remain high until 2028, with current prices 4-5X higher than usual, pushing users to DDR4 platforms.",Wccftech,2026-06-09T13:12:00Z
"Apple dials down Liquid Glass, and the Mac looks way better for it - The Verge","Hands-on with the developer beta of macOS 27 Golden Gate and its reduced Liquid Glass UI. We’re taking an early look at Apple’s upcoming OS for MacBooks and Mac desktops, announced at WWDC.",The Verge,2026-06-09T13:04:39Z
iOS 27 Introduces Overhauled AirPods Settings Menu - MacRumors,"When AirPods owners connect to their iPhone running iOS 27, they'll see a completely revamped settings menu for their earbuds that does a better...",MacRumors,2026-06-09T12:45:47Z
Gemini could soon get a lot better for multitaskers - Android Authority,Google seems to be working on making Gemini more useful for multitaskers by adding useful new features that could roll out soon.,Android Authority,2026-06-09T09:40:50Z
I can't believe I'm saying this: Android needs these five iOS 27 features - Android Central,Credit where it's due: Apple had some genuinely smart ideas this year.,Android Central,2026-06-09T08:08:00Z
Apple Passwords Can Now Automatically Fix Weak and Compromised Passwords With Agentic AI - MacRumors,Apple today announced that the Passwords app can now automatically update weak and compromised passwords using Apple Intelligence and Safari to take...,MacRumors,2026-06-08T20:05:12Z
Apple announces macOS 27 Golden Gate with Siri AI and revamped Liquid Glass controls - The Verge,"Apple is announcing its new macOS version for the Mac Studio, Mac Mini, MacBook Pro, MacBook Air, and MacBook Neo.",The Verge,2026-06-08T17:07:30Z
"Steam Frame Welcome Tour leaks, shows Valve’s VR setup tutorial - VideoCardz.com",Valve’s Steam Frame software has appeared online through what is said to be an early Welcome Tour video.,Videocardz.com,2026-06-08T15:32:27Z
Here’s Everything Coming To Destiny 2’s Final June 9 Update - Forbes,Destiny 2 will end with one of its biggest and best updates ever. Here's almost everything that's coming with the June 9 patch.,Forbes,2026-06-08T14:42:40Z
